USER_ID	WORK
1	AT&T
2	Hellenic Bank
3	FBI
4	FBI
5	Hellenic Bank
6	Coffee Island
7	EBAY
8	CIA
9	Cyta
10	Tesla
11	AT&T
12	SpaceX
13	Exxon Mobil
14	CoffeeBrads
15	EBAY
16	EBAY
17	 CVS Health
18	Cyta
19	Wargaming
20	CoffeeBrads
21	MCKesson
22	Amazon
23	Microsoft
24	Oracle
25	USAA
26	Exxon Mobil
27	Amazon
28	AT&T
29	Zorbas
30	NASA
31	CoffeeBrads
32	Tesla
33	Bank of Cyprus
34	NASA
35	Zorbas
36	CIA
37	CoffeeBrads
38	Zorbas
39	MCKesson
40	Lacoste
41	Activision
42	CoffeeBrads
43	Thimonia
44	CoffeeBrads
45	Cisco
46	Blizzard
47	Stalink
48	Activision
49	Coffee Island
50	MCKesson
51	Thimonia
52	Wargaming
53	Lacoste
54	Facebook
55	Amazon
56	Sifounas
57	Activision
58	Amazon
59	Exxon Mobil
60	EBAY
61	EBAY
62	MCKesson
63	Apple
64	Amazon
65	Activision
66	Zorbas
67	Stalink
68	Cyta
69	Hellenic Bank
70	Bank of Cyprus
71	Exxon Mobil
72	Verizon Coms
73	CIA
74	CIA
75	Lacoste
76	FBI
77	Hellenic Bank
78	Bank of Cyprus
79	MCKesson
80	CIA
81	Coffee Island
82	Microsoft
83	Bank of Cyprus
84	Tesla
85	Stalink
86	FBI
87	CIA
88	Apple
89	Exxon Mobil
90	Hellenic Bank
91	Verizon Coms
92	CoffeeBrads
93	Amazon
94	Lacoste
95	NASA
96	Blizzard
97	Exxon Mobil
98	Exxon Mobil
99	Coffee Island
100	Cablenet
101	1
101	dddd
101	dddddd
101	dd
