USER_ID	MESSAGE	DESCRIPTION	LENGTH	PRIVACY
1	Video9	null	null	1
1	Video6	null	null	4
1	Video8	null	null	3
1	Video6	null	null	4
2	Video15	null	null	4
2	Video1	null	null	4
2	Video6	null	null	3
2	Video4	null	null	1
2	Video15	null	null	3
3	Video8	null	null	3
3	Video14	null	null	4
3	Video10	null	null	1
3	Video8	null	null	1
3	Video15	null	null	4
4	Video11	null	null	2
4	Video9	null	null	4
4	Video9	null	null	3
5	Video13	null	null	4
5	Video1	null	null	2
5	Video11	null	null	2
5	Video8	null	null	3
5	Video12	null	null	4
5	Video10	null	null	3
5	Video14	null	null	2
6	Video2	null	null	2
6	Video4	null	null	4
6	Video2	null	null	3
6	Video6	null	null	1
6	Video10	null	null	3
7	Video1	null	null	3
7	Video5	null	null	4
7	Video V1	null	null	1
8	Video14	null	null	4
8	Video11	null	null	1
8	Video2	null	null	2
8	Video3	null	null	2
8	Video15	null	null	2
8	Video7	null	null	1
9	Video10	null	null	1
9	Video12	null	null	3
9	Video12	null	null	1
9	Video1	null	null	3
9	Video2	null	null	1
9	Video10	null	null	2
10	Video3	null	null	2
10	Video7	null	null	3
10	Video11	null	null	4
10	Video3	null	null	3
11	Video13	null	null	4
12	Video8	null	null	4
12	Video8	null	null	3
12	Video11	null	null	1
12	Video7	null	null	1
12	Video6	null	null	2
12	Video4	null	null	2
13	Video1	null	null	3
13	Video11	null	null	1
14	Video9	null	null	2
14	Video3	null	null	1
15	Video7	null	null	2
15	Video2	null	null	1
15	Video1	null	null	4
15	Video9	null	null	1
15	Video5	null	null	4
15	Video4	null	null	3
17	Video8	null	null	2
18	Video15	null	null	1
18	Video2	null	null	2
18	Video7	null	null	1
18	Video13	null	null	2
18	Video6	null	null	4
20	Video15	null	null	4
21	Video1	null	null	1
21	Video1	null	null	1
21	Video14	null	null	2
22	Video10	null	null	1
22	Video12	null	null	1
22	Video1	null	null	2
22	Video11	null	null	1
22	Video15	null	null	2
22	Video14	null	null	1
23	Video13	null	null	3
23	Video11	null	null	4
23	Video11	null	null	4
24	Video1	null	null	2
24	Video6	null	null	4
24	Video2	null	null	2
24	Video11	null	null	4
24	Video6	null	null	2
25	Video1	null	null	2
25	Video7	null	null	1
26	Video9	null	null	4
26	Video13	null	null	2
26	Video12	null	null	4
26	Video8	null	null	1
26	Video8	null	null	4
27	Video3	null	null	2
27	Video9	null	null	4
27	Video14	null	null	4
27	Video2	null	null	2
28	Video7	null	null	2
28	Video10	null	null	3
28	Video9	null	null	4
28	Video11	null	null	4
28	Video15	null	null	1
28	Video9	null	null	4
29	Video7	null	null	4
29	Video5	null	null	4
29	Video1	null	null	2
29	Video14	null	null	3
29	Video4	null	null	1
30	Video8	null	null	3
30	Video7	null	null	1
30	Video15	null	null	4
30	Video4	null	null	4
30	Video8	null	null	2
30	Video2	null	null	1
30	Video14	null	null	2
31	Video8	null	null	2
31	Video8	null	null	1
31	Video14	null	null	4
31	Video7	null	null	3
31	Video3	null	null	4
31	Video7	null	null	4
31	Video11	null	null	2
32	Video11	null	null	4
32	Video10	null	null	3
32	Video7	null	null	2
32	Video15	null	null	1
32	Video6	null	null	4
34	Video12	null	null	1
34	Video8	null	null	3
34	Video6	null	null	3
34	Video13	null	null	1
34	Video14	null	null	3
35	Video13	null	null	2
36	Video14	null	null	1
36	Video14	null	null	2
37	Video15	null	null	2
37	Video15	null	null	4
37	Video4	null	null	1
37	Video1	null	null	2
37	Video5	null	null	2
37	Video3	null	null	3
39	Video10	null	null	4
39	Video2	null	null	2
39	Video8	null	null	3
39	Video9	null	null	2
39	Video14	null	null	4
39	Video6	null	null	3
40	Video13	null	null	1
40	Video13	null	null	2
42	Video13	null	null	3
42	Video10	null	null	4
42	Video8	null	null	1
42	Video4	null	null	1
42	Video7	null	null	1
42	Video14	null	null	3
42	Video2	null	null	1
43	Video14	null	null	3
43	Video2	null	null	1
43	Video3	null	null	1
43	Video12	null	null	3
44	Video13	null	null	4
45	Video11	null	null	4
45	Video12	null	null	2
45	Video13	null	null	4
45	Video15	null	null	3
45	Video13	null	null	2
45	Video14	null	null	1
46	Video1	null	null	3
46	Video6	null	null	4
46	Video13	null	null	2
46	Video1	null	null	4
46	Video12	null	null	3
46	Video2	null	null	1
46	Video6	null	null	1
47	Video11	null	null	3
47	Video14	null	null	4
47	Video13	null	null	3
47	Video11	null	null	3
47	Video11	null	null	2
48	Video9	null	null	3
48	Video15	null	null	3
49	Video14	null	null	4
49	Video14	null	null	3
49	Video3	null	null	2
49	Video4	null	null	2
49	Video5	null	null	1
49	Video8	null	null	2
50	Video14	null	null	1
50	Video4	null	null	1
50	Video7	null	null	4
50	Video15	null	null	4
50	Video7	null	null	3
50	Video4	null	null	4
50	Video2	null	null	1
51	Video3	null	null	3
51	Video11	null	null	1
51	Video6	null	null	4
51	Video7	null	null	3
51	Video14	null	null	2
51	Video4	null	null	3
51	Video8	null	null	2
53	Video11	null	null	1
53	Video9	null	null	3
53	Video6	null	null	4
53	Video12	null	null	4
54	Video1	null	null	2
54	Video12	null	null	4
54	Video3	null	null	3
54	Video9	null	null	1
54	Video7	null	null	2
54	Video5	null	null	1
55	Video8	null	null	1
55	Video4	null	null	3
55	Video5	null	null	4
55	Video13	null	null	2
55	Video13	null	null	1
55	Video12	null	null	1
55	Video9	null	null	3
56	Video10	null	null	3
56	Video10	null	null	1
57	Video12	null	null	1
57	Video10	null	null	2
57	Video2	null	null	2
57	Video4	null	null	2
57	Video4	null	null	1
57	Video10	null	null	3
58	Video11	null	null	4
59	Video14	null	null	4
59	Video12	null	null	2
59	Video7	null	null	3
59	Video5	null	null	4
59	Video9	null	null	2
59	Video13	null	null	4
60	Video11	null	null	3
60	Video1	null	null	1
60	Video13	null	null	2
60	Video5	null	null	1
61	Video6	null	null	1
61	Video12	null	null	1
61	Video11	null	null	1
62	Video2	null	null	1
62	Video7	null	null	3
62	Video6	null	null	3
62	Video10	null	null	2
63	Video9	null	null	3
63	Video14	null	null	2
63	Video9	null	null	2
63	Video15	null	null	2
63	Video13	null	null	4
64	Video7	null	null	1
64	Video5	null	null	4
64	Video4	null	null	4
65	Video8	null	null	3
65	Video9	null	null	2
66	Video11	null	null	3
67	Video10	null	null	2
67	Video2	null	null	2
67	Video11	null	null	3
67	Video13	null	null	3
67	Video1	null	null	2
67	Video8	null	null	3
67	Video5	null	null	2
68	Video4	null	null	1
68	Video4	null	null	1
69	Video12	null	null	3
71	Video1	null	null	3
71	Video3	null	null	4
71	Video13	null	null	3
71	Video9	null	null	3
71	Video12	null	null	2
72	Video6	null	null	1
72	Video6	null	null	2
72	Video3	null	null	1
72	Video11	null	null	3
72	Video11	null	null	2
72	Video8	null	null	4
72	Video5	null	null	1
73	Video7	null	null	4
73	Video1	null	null	3
73	Video1	null	null	2
73	Video12	null	null	2
73	Video8	null	null	1
74	Video5	null	null	4
74	Video15	null	null	2
74	Video2	null	null	3
74	Video13	null	null	1
74	Video2	null	null	3
74	Video14	null	null	3
74	Video8	null	null	3
75	Video9	null	null	4
75	Video9	null	null	2
75	Video15	null	null	3
76	Video2	null	null	2
76	Video9	null	null	3
76	Video9	null	null	2
77	Video9	null	null	1
