USER_ID	COMMENT	ALBUM_ID
1	Comment12	221
2	Comment11	1
1	Comment15	99
1	Comment12	232
1	Comment6	220
1	Comment11	26
2	Comment14	185
2	Comment2	128
2	Comment14	128
3	Comment2	111
3	Comment13	56
3	Comment4	223
3	Comment1	101
3	Comment9	74
3	Comment6	145
3	Comment10	214
4	Comment8	233
4	Comment12	232
4	Comment10	61
4	Comment8	68
4	Comment3	91
5	Comment10	211
5	Comment11	44
5	Comment10	47
5	Comment14	110
5	Comment8	144
5	Comment11	133
5	Comment13	187
6	Comment7	86
7	Comment2	4
7	Comment4	46
8	Comment4	97
8	Comment4	169
10	Comment3	209
10	Comment11	84
10	Comment13	241
10	Comment14	196
10	Comment8	50
10	Comment6	124
10	Comment3	68
11	Comment2	8
11	Comment13	101
11	Comment4	200
11	Comment5	26
11	Comment4	92
11	Comment10	239
12	Comment6	214
12	Comment13	220
13	Comment12	167
14	Comment3	185
14	Comment3	10
14	Comment14	169
14	Comment2	209
14	Comment14	21
14	Comment5	204
14	Comment3	1
15	Comment15	231
15	Comment12	192
15	Comment13	108
15	Comment6	207
15	Comment1	102
15	Comment1	157
16	Comment4	77
16	Comment5	50
16	Comment4	174
17	Comment9	225
17	Comment9	118
17	Comment2	130
18	Comment8	153
18	Comment7	75
18	Comment10	187
18	Comment1	24
18	Comment3	28
18	Comment13	14
18	Comment12	97
19	Comment5	23
19	Comment8	228
19	Comment15	30
20	Comment6	184
20	Comment2	92
21	Comment2	148
21	Comment8	202
21	Comment14	57
21	Comment3	94
22	Comment11	30
22	Comment14	206
22	Comment5	161
23	Comment3	181
23	Comment7	220
23	Comment3	23
23	Comment8	22
24	Comment9	218
24	Comment5	219
24	Comment1	81
24	Comment4	194
24	Comment9	26
24	Comment8	125
25	Comment3	27
25	Comment10	24
25	Comment2	14
26	Comment14	93
26	Comment6	174
26	Comment10	20
27	Comment6	16
27	Comment10	185
27	Comment3	219
28	Comment1	113
28	Comment2	19
28	Comment8	198
28	Comment4	51
28	Comment6	133
29	Comment11	160
29	Comment4	111
29	Comment11	54
29	Comment3	17
29	Comment7	76
29	Comment5	15
30	Comment4	56
30	Comment15	99
30	Comment3	25
30	Comment8	173
30	Comment7	131
31	Comment3	110
31	Comment10	233
