OWNER	NAME	DESCRIPTION	START_TIME	END_TIME	LOCATION	VENUE	PRIVACY
1	Event6	null	2020-10-21 16:50:00	2020-10-21 17:50:00	7	293	4
3	Event6	null	2020-10-25 11:24:00	2020-10-25 12:24:00	10	181	2
4	Event4	null	2020-10-12 22:41:00	2020-10-12 23:41:00	10	176	4
5	Event2	null	2020-10-16 22:34:00	2020-10-16 23:34:00	7	538	1
6	Event9	null	2020-10-28 22:34:00	2020-10-28 23:34:00	6	592	1
6	Event2	null	2020-10-17 11:54:00	2020-10-17 12:54:00	15	446	2
7	Event6	null	2020-10-12 20:23:00	2020-10-12 21:23:00	16	404	2
8	Event6	null	2020-10-17 21:30:00	2020-10-17 22:30:00	9	27	2
11	Event7	null	2020-10-25 10:31:00	2020-10-25 11:31:00	9	339	2
11	Event15	null	2020-10-23 14:46:00	2020-10-23 15:46:00	14	167	3
12	Event14	null	2020-10-26 21:28:00	2020-10-26 22:28:00	15	202	1
14	Event9	null	2020-10-18 15:22:00	2020-10-18 16:22:00	1	697	3
15	Event14	null	2020-10-11 18:57:00	2020-10-11 19:57:00	9	212	4
15	Event10	null	2020-10-25 15:55:00	2020-10-25 16:55:00	1	428	3
17	Event7	null	2020-10-28 18:36:00	2020-10-28 19:36:00	3	650	4
18	Event11	null	2020-10-25 13:45:00	2020-10-25 14:45:00	4	594	1
18	Event12	null	2020-10-27 11:52:00	2020-10-27 12:52:00	5	413	3
20	Event2	null	2020-10-22 11:16:00	2020-10-22 12:16:00	3	181	2
21	Event15	null	2020-10-10 10:25:00	2020-10-10 11:25:00	6	535	2
22	Event6	null	2020-10-15 19:11:00	2020-10-15 20:11:00	3	200	1
22	Event12	null	2020-10-17 22:53:00	2020-10-17 23:53:00	8	597	3
26	Event4	null	2020-10-10 10:21:00	2020-10-10 11:21:00	3	583	3
27	Event11	null	2020-10-18 13:16:00	2020-10-18 14:16:00	10	266	2
27	Event2	null	2020-10-18 13:23:00	2020-10-18 14:23:00	10	577	4
28	Event7	null	2020-10-26 12:57:00	2020-10-26 13:57:00	2	380	4
29	Event5	null	2020-10-15 18:28:00	2020-10-15 19:28:00	9	315	4
