USER_ID	EVENT_ID
3	30
3	28
5	19
5	67
6	65
6	73
9	53
10	9
10	65
11	22
11	41
16	28
17	45
19	83
19	10
20	20
22	16
25	87
25	32
26	29
26	15
27	36
28	34
29	13
30	17
30	13
31	40
31	46
35	14
37	1
38	39
38	13
40	57
42	28
42	45
44	67
45	83
45	4
46	33
46	37
48	24
48	65
50	50
52	61
54	35
54	2
58	19
58	6
59	50
59	55
60	82
61	91
61	14
62	90
64	52
65	81
65	47
67	49
67	94
68	39
68	72
70	39
70	88
71	42
72	17
72	58
73	34
73	92
78	21
79	19
79	35
80	7
83	30
84	26
84	22
85	57
86	39
86	13
87	60
88	31
89	16
89	20
90	45
91	22
92	44
94	11
94	4
98	61
98	39
99	81
99	51
100	22
100	28
1	34
