ALBUM_ID	PHOTO_ID
1	1
6	6
7	6
8	7
9	7
10	10
11	10
12	11
13	11
14	18
16	21
17	21
18	22
19	22
20	40
21	40
22	38
23	42
24	43
25	46
26	45
27	46
245	556
245	557
245	558
245	559
245	560
245	561
245	562
245	563
245	564
245	565
246	566
246	567
246	568
246	569
246	570
247	571
247	572
247	573
247	574
247	575
248	576
248	577
248	578
248	579
248	580
249	581
249	582
249	583
249	584
249	585
249	586
249	587
249	588
249	589
249	590
250	591
250	592
250	593
250	594
250	595
251	596
251	597
251	598
251	599
251	600
252	601
252	602
252	603
252	604
252	605
253	606
253	607
253	608
253	609
253	610
253	611
253	612
253	613
253	614
253	615
254	616
254	617
254	618
254	619
254	620
255	621
255	622
255	623
255	624
255	625
256	626
256	627
256	628
256	629
256	630
257	631
257	632
257	633
257	634
257	635
257	636
257	637
257	638
257	639
257	640
257	641
257	642
257	643
257	644
257	645
